#Calculation provided for various boron concentraiton for total burnup of 25 MWd/kg 
#The goal is to find critical boron concentration for every burnup step

#2550B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
7.00    7789.058249651907               13.604572445577743
9.00    6132.372128823942               13.21669734324238
11.00   4596.538762426291               15.473094707385693
13.00   2990.7938263341107              15.998336340156188
15.00   1431.2187044119473              16.5168678983657
17.00   -118.13940449730269             17.040191124291205
19.00   -1643.3700062612274             18.596474399213506
21.00   -3124.9967773438475             18.079100432556206
23.00   -4593.757844531834              19.69173752407302
25.00   -6015.308610563367              20.230642187627385
#400B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    17584.908148380135              10.188371047366408
0.10    14710.69868995633               10.911397376933126
1.00    13659.871698569343              11.18192663266126
2.00    12934.457059274224              11.370613151345047
3.00    12249.912249912246              11.55011685022215
5.00    10888.530462755863              11.911281004630784
7.00    9339.812514732272               13.150831351782234
9.00    7756.736064348901               14.464993560553724
11.00   6205.4475876041115              14.07586889958669
13.00   4630.2036145152915              15.462176706434983
15.00   3074.477571434107               15.970746726685732
17.00   1563.1767531598118              16.472673890580417
19.00   64.95777744466491               16.97792152884066
21.00   -1403.834687412536              17.480654071830553
23.00   -2841.4051838238715             17.979802854311842
25.00   -4240.612351053192              19.558989473980578
#200B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    19337.2750518258                9.759712794097206
0.10    16422.900125365642              10.47769743518191
1.00    15345.348650181586              10.749614992738968
2.00    14599.257013536013              10.939930353960115
3.00    13892.572373292922              11.121733638732895
5.00    12500.98436392591               11.484116605922907
7.00    10999.563897863107              13.46583196482994
9.00    9394.84819106815                13.134869654911338
11.00   7819.658379653952               13.595544609989924
13.00   6281.922720073469               14.052924814474052
15.00   4760.997723787844               14.512748087309351
17.00   3242.34888873837                16.851677487423533
19.00   1786.5035013111433              17.362603610096343
21.00   353.74420806137636              17.87287732803443
23.00   -1061.550526732797              17.362842891274525
25.00   -2477.9160091000367             17.852929558265874
#0B
#BU-step	reactivity (pcm)			reactivity-err (pcm)
0.00    21065.30267509689               9.346029662661099
0.10    18124.05842667191               10.055504712778554
1.00    17019.334495062656              10.328686271463447
2.00    16268.24305654406               10.516510681256971
3.00    15530.552599124892              10.70263131631381
5.00    14120.33458717645               11.800507090269635
7.00    12620.256372167809              11.45282939469852
9.00    11061.305442158728              12.656146223444777
11.00   9481.783208870776               13.109676113673391
13.00   7971.5079788702515              13.550789349893027
